,name,price,status,link
66,"Apple MacBook Air 13 Retina Space Gray (M1 8-Core, GPU 8-Core, 16GB, 2TB)",301990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-space-gray-m1-8-core-16gb-2tb
67,"Apple MacBook Pro 14 Z15G000CP Space Gray (M1 Max 10-Core, GPU 24-Core, 32GB, 512GB)",319990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000cp-space-gray-m1-max-10-core-gpu-24-core-32gb-512gb
68,"Apple MacBook Pro 14 Z15G000D6 Space Gray (M1 Pro 10-Core, GPU 16-Core, 32GB, 1TB)",329990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000d6-space-gray-m1-pro-10-core-gpu-16-core-32gb-1tb
69,"Apple MacBook Pro 14 Z15G000CV Space Grey (M1 Pro 10-Core, GPU 14-Core, 32GB, 512GB)",349990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000cv-space-grey-m1-pro-10-core-gpu-14-core-32gb-512gb
70,"Apple MacBook Pro 14 Z15J000D1 Silver (M1 Pro 10-Core, GPU 14-Core, 32GB, 512GB)",349990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000d1-silver-m1-pro-10-core-gpu-14-core-32gb-512gb
71,"Apple MacBook Pro 14 Z15G000D8 Space Gray (M1 Pro 10-Core, GPU 16-Core, 32GB, 2TB)",349990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000d8-space-gray-m1-pro-10-core-gpu-16-core-32gb-2tb
72,"Apple MacBook Pro 14 Z15G000D4 Space Grey (M1 Pro 10-Core, GPU 16-Core, 32GB, 512GB)",359990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000d4-space-grey-m1-pro-10-core-gpu-16-core-32gb-512gb
73,"Apple MacBook Pro 14 Z15J000D6 Silver (M1 Pro 10-Core, GPU 16-Core, 32GB, 512GB)",359990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000d6-silver-m1-pro-10-core-gpu-16-core-32gb-512gb
74,"Apple MacBook Pro 14 Z15G000D7 Space Gray (M1 Pro 10-Core, GPU 16-core, 16 GB, 2TB)",369990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000d7-space-gray-m1-pro-10-core-gpu-16-core-16-gb-2tb
75,"Apple MacBook Pro 14 Z15G000CX Space Gray (M1 Pro 10-Core, GPU 14-Core, 32GB, 1TB)",369990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000cx-space-gray-m1-pro-10-core-gpu-14-core-32gb-1tb
76,"Apple MacBook Pro 16 Z14V0008D Space Gray (M1 Pro 10-Core, GPU 16-Core, 32GB, 512GB)",379990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008d-space-gray-m1-pro-10-core-gpu-16-core-32gb-512gb
77,"Apple MacBook Pro 16 Z14Z00079 Silver (M1 Pro 10-Core, GPU 16-Core, 32GB, 1TB)",379990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14z00079-silver-m1-pro-10-core-gpu-16-core-32gb-1tb
78,"Apple MacBook Pro 14 Z15J000D2 Silver (M1 Pro 10-Core, GPU 14-Core, 32GB, 1TB)",379990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000d2-silver-m1-pro-10-core-gpu-14-core-32gb-1tb
79,"Apple MacBook Pro 16 Z14V0008E Space Gray (M1 Max 10-Core, GPU 24-Core, 32GB, 512GB)",389990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008e-space-gray-m1-max-10-core-gpu-24-core-32gb-512gb
80,"Apple MacBook Pro 16 Z14Y0008D Silver (M1 Max 10-Core, GPU 24-Core, 32GB, 512GB)",389990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008d-silver-m1-max-10-core-gpu-24-core-32gb-512gb
81,"Apple MacBook Pro 16 MK1A3 Space Gray (M1 Max 10-Core, GPU 32-Core, 32GB, 1TB)",399990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-mk1a3-space-gray-m1-max-10-core-gpu-24-core-32gb-1tb
82,"Apple MacBook Pro 16 Z14V0008F Space Gray (M1 Max 10-Core, GPU 32-Core, 32GB, 512GB)",399990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008f-space-gray-m1-max-10-core-gpu-32-core-32gb-512gb
83,"Apple MacBook Pro 16 Z14Y0008E Silver (M1 Max 10-Core, GPU 32-Core, 32GB, 512GB)",399990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008e-silver-m1-max-10-core-gpu-32-core-32gb-512gb
84,"Apple MacBook Pro 14 Z15J000D4 Space Gray (M1 Pro 10-Core, GPU 16-Core, 32GB, 512GB)",399990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000d4-space-gray-m1-pro-10-core-gpu-16-core-32gb-512gb
85,"Apple MacBook Pro 14 Z15G000D9 Space Gray (M1 Pro 10-Core, GPU 16-core, 16 GB, 4TB)",409990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000d9-space-gray-m1-pro-10-core-gpu-16-core-16-gb-4tb
86,"Apple MacBook Pro 14 Z15J000CV Silver (M1 Pro 10-Core, GPU 16-core, 16 GB, 4TB)",409990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000cv-silver-m1-pro-10-core-gpu-16-core-16-gb-4tb
87,"Apple MacBook Pro 16 Z14W0007A Space Gray (M1 Max 10-Core, GPU 24-Core, 32GB, 1TB)",414990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14w0007a-space-gray
88,"Apple MacBook Pro 14 Z15G000DA Space Gray (M1 Pro 10-Core, GPU 16-Core, 32GB, 4TB)",414990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000da-space-gray-m1-pro-10-core-gpu-16-core-32gb-4tb
