,id,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
17353,7045784050,bellingham,19999,2018.0,dodge,,6 cylinders,gas,34005.0,clean,automatic,4wd,,SUV,custom,1
17354,7045783962,bellingham,21999,2019.0,mitsubishi,,other,gas,28742.0,clean,automatic,4wd,,SUV,silver,1
17355,7045783966,bellingham,24999,2018.0,subaru,,4 cylinders,gas,31994.0,clean,automatic,4wd,,SUV,custom,1
17356,7045783616,bellingham,34999,2017.0,toyota,,6 cylinders,gas,24209.0,clean,automatic,4wd,,truck,custom,1
17357,7045783520,bellingham,22999,2019.0,jeep,,other,gas,25738.0,clean,automatic,4wd,,SUV,silver,1
17358,7045783454,bellingham,42999,2016.0,gmc,,8 cylinders,gas,34794.0,clean,automatic,4wd,,SUV,custom,1
17359,7045783428,bellingham,8999,2014.0,chevrolet,,4 cylinders,gas,50269.0,clean,manual,fwd,,sedan,silver,1
17360,7045783329,bellingham,34999,2018.0,toyota,,6 cylinders,gas,29436.0,clean,automatic,4wd,,truck,red,1
17361,7045783317,bellingham,59999,2017.0,gmc,,8 cylinders,diesel,20423.0,clean,automatic,4wd,,truck,black,1
17362,7045783203,bellingham,22999,2017.0,nissan,,6 cylinders,gas,26262.0,clean,automatic,4wd,,SUV,black,1
17363,7045783197,bellingham,26999,2016.0,dodge,,6 cylinders,gas,55398.0,clean,automatic,4wd,,SUV,silver,1
17364,7045783054,bellingham,23999,2014.0,nissan,,6 cylinders,gas,64675.0,clean,automatic,4wd,,SUV,custom,1
17365,7045783033,bellingham,20999,2016.0,subaru,,other,gas,41244.0,clean,automatic,4wd,,SUV,custom,1
17366,7045782934,bellingham,24999,2019.0,nissan,,6 cylinders,gas,20628.0,clean,automatic,4wd,,SUV,custom,1
17367,7045782931,bellingham,24999,2019.0,nissan,,6 cylinders,gas,27562.0,clean,automatic,4wd,,SUV,black,1
17368,7045782932,bellingham,18999,2017.0,dodge,,6 cylinders,gas,62250.0,clean,automatic,rwd,,sedan,black,1
17369,7045782791,bellingham,37999,2019.0,toyota,,6 cylinders,gas,22348.0,clean,automatic,4wd,,SUV,silver,1
17370,7045782676,bellingham,32999,2015.0,ford,,6 cylinders,gas,54249.0,clean,automatic,4wd,,truck,custom,1
17371,7045782619,bellingham,19999,2018.0,jeep,,other,gas,41499.0,clean,automatic,4wd,,SUV,custom,1
17372,7045782548,bellingham,39999,2018.0,jeep,,6 cylinders,gas,14919.0,clean,automatic,4wd,,SUV,white,1
17373,7045782504,bellingham,31999,2014.0,toyota,,6 cylinders,gas,18682.0,clean,automatic,4wd,,truck,black,1
17374,7045782380,bellingham,17999,2016.0,nissan,,6 cylinders,gas,52162.0,clean,automatic,fwd,,sedan,custom,1
17375,7045782302,bellingham,21999,2018.0,honda,,other,gas,38508.0,clean,automatic,4wd,,SUV,red,1
17376,7045782287,bellingham,23999,2016.0,ram,,8 cylinders,gas,66226.0,clean,automatic,4wd,,truck,custom,1
17377,7045782177,bellingham,21999,2019.0,kia,,6 cylinders,gas,26960.0,clean,automatic,4wd,,SUV,white,1
17378,7045782128,bellingham,69999,2018.0,gmc,,8 cylinders,diesel,14584.0,clean,automatic,4wd,,truck,black,1
17379,7045782069,bellingham,21999,2019.0,kia,,6 cylinders,gas,32164.0,clean,automatic,4wd,,SUV,red,1
17380,7045782010,bellingham,22999,2017.0,subaru,,other,gas,55358.0,clean,manual,4wd,,sedan,red,1
17381,7045781929,bellingham,23999,2017.0,chevrolet,,6 cylinders,gas,55877.0,clean,automatic,4wd,,SUV,black,1
17382,7045781817,bellingham,18499,2019.0,kia,,other,gas,33242.0,clean,automatic,4wd,,SUV,custom,1
17383,7045781706,bellingham,69999,2019.0,ford,,6 cylinders,gas,22778.0,clean,automatic,4wd,,SUV,white,1
17384,7045781701,bellingham,49999,2016.0,ram,,other,diesel,43406.0,clean,automatic,4wd,,truck,custom,1
17385,7045781614,bellingham,28999,2018.0,nissan,,8 cylinders,gas,36558.0,clean,automatic,4wd,,truck,custom,1
17386,7045781477,bellingham,32999,2016.0,toyota,,6 cylinders,gas,32842.0,clean,automatic,4wd,,truck,orange,1
17387,7045781393,bellingham,34999,2017.0,toyota,,6 cylinders,gas,19584.0,clean,automatic,4wd,,truck,orange,1
17388,7045781440,bellingham,44999,2018.0,ram,,other,diesel,12966.0,clean,automatic,4wd,,truck,custom,1
17389,7045781311,bellingham,42999,2016.0,gmc,,8 cylinders,gas,45695.0,clean,automatic,4wd,,SUV,custom,1
17390,7045781202,bellingham,20999,2018.0,dodge,,6 cylinders,gas,26108.0,clean,automatic,4wd,,SUV,red,1
17391,7045781160,bellingham,29999,2017.0,ram,,8 cylinders,gas,17327.0,clean,automatic,4wd,,truck,custom,1
17392,7045780455,bellingham,20999,2016.0,bmw,good,4 cylinders,gas,39875.0,clean,automatic,,,SUV,black,1
17393,7045780264,bellingham,11967,2012.0,honda,good,4 cylinders,gas,19514.0,clean,manual,fwd,,hatchback,,1
17394,7045780260,bellingham,12999,2011.0,bmw,good,6 cylinders,gas,63292.0,clean,automatic,,,sedan,white,1
17395,7045780167,bellingham,5888,2013.0,hyundai,good,4 cylinders,gas,126000.0,clean,automatic,fwd,,sedan,,1
17396,7045780073,bellingham,11999,2009.0,bmw,good,6 cylinders,gas,81866.0,clean,automatic,,,sedan,black,1
17397,7045780016,bellingham,7888,2007.0,honda,good,4 cylinders,gas,76591.0,clean,automatic,fwd,,coupe,,1
17398,7045779923,bellingham,12999,2011.0,bmw,good,6 cylinders,gas,58836.0,clean,automatic,rwd,,coupe,black,1
17399,7045779861,bellingham,15876,2015.0,nissan,good,6 cylinders,gas,31860.0,clean,other,fwd,,sedan,,1
17400,7045779765,bellingham,6998,2012.0,fiat,good,4 cylinders,gas,76230.0,clean,other,fwd,,convertible,,1
17401,7045779754,bellingham,24999,2015.0,bmw,good,4 cylinders,diesel,38451.0,clean,automatic,,,SUV,,1
17402,7045779604,bellingham,26999,2016.0,bmw,good,6 cylinders,gas,32542.0,clean,automatic,,,sedan,,1
17403,7045771921,bellingham,2888,2000.0,subaru,,,gas,261000.0,clean,automatic,,,wagon,black,1
17404,7045769800,bellingham,3995,1993.0,acura,,,gas,170000.0,clean,automatic,,,sedan,black,1
17405,7045767543,bellingham,5995,2004.0,subaru,,,gas,122000.0,clean,automatic,,,wagon,silver,1
17406,7045765366,bellingham,2888,1998.0,subaru,,,gas,227000.0,clean,automatic,,,wagon,red,1
17407,7045763239,bellingham,3450,2000.0,toyota,,,gas,177000.0,clean,automatic,,,sedan,green,1
17408,7045762495,bellingham,2500,2003.0,ford,,,gas,195000.0,clean,automatic,,,,,1
17409,7045756575,bellingham,5991,2009.0,nissan,,4 cylinders,gas,139456.0,clean,automatic,fwd,,sedan,silver,1
17410,7045686212,bellingham,800,1990.0,lincoln,fair,8 cylinders,gas,152400.0,clean,automatic,,,,white,1
17411,7045619321,bellingham,9400,2000.0,jeep,good,6 cylinders,gas,,clean,automatic,4wd,,,white,1
17412,7045615426,bellingham,27500,2014.0,ram,good,8 cylinders,diesel,102000.0,rebuilt,automatic,4wd,full-size,truck,black,1
17413,7045582490,bellingham,34999,2017.0,toyota,,,gas,19584.0,clean,automatic,4wd,,truck,orange,1
17414,7045614028,bellingham,500,2003.0,ford,fair,6 cylinders,gas,,clean,automatic,4wd,,SUV,silver,1
