,id,price,year,odometer,lat,long
0,7034441763,17899,2012,63500,40,-111
1,7034440610,0,2016,10,40,-111
2,7034440588,46463,2015,7554,40,-111
3,7034440546,0,2016,10,40,-111
4,7034406932,49999,2018,70150,40,-104
5,7034406582,13999,2009,120057,40,-104
6,7034405619,34500,2017,95484,40,-104
7,7034405349,14500,2007,89340,40,-104
8,7034404595,12500,2013,226031,40,-104
9,7034401857,34500,2012,128153,40,-104
10,7034401494,5900,1994,168838,40,-104
11,7034400341,16500,2013,156385,40,-104
12,7034398060,14500,2007,135287,40,-104
13,7034396354,27999,2015,73612,40,-104
14,7034395505,14999,2004,235790,40,-104
15,7034395342,24999,2014,158156,40,-104
16,7034394805,35500,2015,127515,40,-104
17,7034385254,8999,2002,179098,40,-104
18,7034384679,5999,2003,185220,40,-104
19,7034384490,63500,2019,20930,40,-104
20,7034384400,13500,2010,231570,40,-104
21,7034374035,31895,2008,75000,19,-155
22,7034366554,9500,2001,93899,39,-111
23,7034290597,57995,2011,9458,33,-111
24,7034278551,4600,2008,110982,40,-111
25,7034261745,32995,2014,93242,33,-111
26,7034229439,39995,2011,15708,33,-111
27,7034206084,26950,2015,68013,40,-111
28,7034195717,39995,2016,23773,33,-111
29,7033845439,8300,2016,28000,40,-112
30,7034166384,30000,1992,13000,31,-110
31,7034158475,43995,2011,7238,33,-111
32,7034118739,37995,2017,21125,33,-111
33,7034078036,43995,2011,9968,33,-111
34,7034037779,59995,2011,9228,33,-111
35,7034014908,27476,2015,41245,39,-104
36,7033992818,23500,2011,80855,39,-104
37,7033974897,15475,2016,58103,39,-104
38,7033963404,15475,2018,11892,39,-104
39,7033943607,3995,1999,215349,45,-113
40,7033939797,34900,2015,42649,39,-104
41,7033921130,21475,2018,10683,39,-104
42,7033912739,14476,2017,81130,39,-104
43,7047631382,23295,2013,63842,37,-113
44,7033844851,0,2016,10,40,-111
45,7033844817,0,2016,10,40,-111
46,7033844784,28248,2014,8543,40,-111
47,7033830282,23800,2010,37700,33,-112
48,7033720842,28000,2004,67348,40,-111
49,7033680889,15995,2014,103252,33,-111
50,7033678167,10550,2014,79035,40,-111
51,7033641942,37995,2017,37152,33,-111
52,7032995718,18999,2015,37000,38,-121
53,7032995571,79997,2016,28000,38,-121
54,7032995413,18999,2013,65000,38,-121
55,7033599808,44995,2011,9650,33,-111
56,7033599135,33950,1935,0,48,-122
57,7033598937,2500,2004,129000,41,-111
58,7033519259,68500,2019,8800,40,-111
59,7033508520,22995,2013,63425,33,-111
60,7033478714,28895,2016,19086,45,-113
61,7033472903,105500,2017,35000,40,-112
62,7032995174,54997,2010,75000,38,-121
63,7032995066,29999,2012,83000,38,-121
64,7047631279,14795,2008,164666,37,-113
65,7033458423,36995,2014,93452,33,-111
66,7033444323,8950,2014,58677,40,-111
67,7033417826,16500,2006,93899,40,-117
68,7033406525,36995,2015,67425,33,-111
69,7033389810,24700,2010,262000,39,-104
70,7033382261,14900,2010,78728,39,-104
71,7033368234,34876,2011,48289,39,-104
72,7033356648,12495,2019,11092,39,-105
73,7033353432,32975,2016,28282,39,-104
74,7033349656,6495,2018,24469,39,-105
75,7033339577,31221,2016,14222,39,-104
76,7033326157,19499,2008,60004,39,-104
77,7033301645,0,2014,68908,39,-104
78,7033291267,13976,2011,93157,39,-104
79,7033285926,5495,2016,55149,39,-105
80,7033279476,8499,2005,43524,39,-104
81,7032994907,21999,2004,55000,38,-121
82,7032992413,37995,2011,15252,33,-111
83,7039834376,0,2016,36959,38,-77
84,7033273899,7495,2017,70109,39,-105
85,7033268169,26950,2019,8871,39,-105
86,7033266224,6995,2010,115266,39,-105
87,7033264267,7995,2014,69260,39,-105
88,7033259770,2250,2004,113248,39,-105
89,7032950500,59995,2011,6815,33,-111
90,7033249926,2800,2006,104421,39,-105
91,7033248670,5495,2015,75506,39,-105
92,7033242672,8995,2019,19558,39,-105
93,7033233997,7995,2019,8161,39,-105
94,7033233133,3250,2017,31336,39,-105
95,7032711898,16476,2004,46153,39,-104
96,7033230001,6800,2004,21274,39,-105
97,7033228648,14800,2019,10868,39,-105
98,7033226558,8995,2019,7974,39,-105
99,7033225686,6995,2017,35370,39,-105
100,7033221608,13495,2014,69614,39,-105
101,7037949356,0,2016,18949,38,-77
102,7033206570,5995,2018,34238,39,-105
103,7033205470,6995,2017,46578,39,-105
104,7033204261,7995,2019,19548,39,-105
105,7033202167,7995,2019,24008,39,-105
106,7033198497,0,2016,10,40,-111
107,7033198469,7200,2004,150523,40,-111
108,7033198406,0,2016,10,40,-111
109,7050078672,12000,2015,65000,37,-113
110,7033197709,4995,2013,116083,39,-105
111,7033083294,24999,2018,9389,47,-122
112,7033077397,4000,2011,110000,40,-111
113,7033030320,49995,2011,28425,33,-111
114,7032997393,16999,2013,32000,38,-121
115,7032997294,22999,2017,39000,38,-121
116,7032997119,29999,2012,61000,38,-121
117,7032996995,39999,2011,29000,38,-121
118,7032996814,21999,2014,76000,38,-121
119,7032996685,31999,2018,22000,38,-121
120,7032996553,24999,2016,56000,38,-121
